Array Size,Transactions/Thread,Query %,Threads,Lock Type,Lock Granularity,Avg Parallel Time
100,100000,10,6,m,f,2.16299435625
100,100000,10,6,m,c,2.16487088725
100,100000,10,6,rw,f,2.16273627725
100,100000,10,6,rw,c,2.1702455665000002
100,100000,50,6,m,f,1.69253447775
100,100000,50,6,m,c,1.6830908535
100,100000,50,6,rw,f,1.696206595
100,100000,50,6,rw,c,1.68470176625
100,100000,90,6,m,f,1.2420348425
100,100000,90,6,m,c,1.242601623
100,100000,90,6,rw,f,1.2448843705
100,100000,90,6,rw,c,1.23290129425
100,200000,10,6,m,f,4.33200611125
100,200000,10,6,m,c,4.31895515375
100,200000,10,6,rw,f,4.3424359895
100,200000,10,6,rw,c,4.3172703855000005
100,200000,50,6,m,f,3.42375188325
100,200000,50,6,m,c,3.4035851735000002
100,200000,50,6,rw,f,3.4130723525
100,200000,50,6,rw,c,3.3891483195
100,200000,90,6,m,f,2.48960311875
100,200000,90,6,m,c,2.4647402515
100,200000,90,6,rw,f,2.48752494
100,200000,90,6,rw,c,2.49089267575
100,300000,10,6,m,f,6.50873435925
100,300000,10,6,m,c,6.47158272425
100,300000,10,6,rw,f,6.4827440945
100,300000,10,6,rw,c,6.5193585272500005
100,300000,50,6,m,f,5.0932498145
100,300000,50,6,m,c,5.07931638925
100,300000,50,6,rw,f,5.0991909525
100,300000,50,6,rw,c,5.0707407365
100,300000,90,6,m,f,3.719877422
100,300000,90,6,m,c,3.7261789725
100,300000,90,6,rw,f,3.7430736675
100,300000,90,6,rw,c,3.73485371075
100,400000,10,6,m,f,8.6269170445
100,400000,10,6,m,c,8.61836572325
100,400000,10,6,rw,f,8.656635604249999
100,400000,10,6,rw,c,8.67592254
100,400000,50,6,m,f,6.8202820895
100,400000,50,6,m,c,6.8241116139999995
100,400000,50,6,rw,f,6.849724442
100,400000,50,6,rw,c,6.7901866615
100,400000,90,6,m,f,4.95959611125
100,400000,90,6,m,c,4.94290560775
100,400000,90,6,rw,f,4.984736571
100,400000,90,6,rw,c,4.9384859
100,500000,10,6,m,f,10.89219929825
100,500000,10,6,m,c,10.81521521975
100,500000,10,6,rw,f,10.834277374500001
100,500000,10,6,rw,c,10.8546860305
100,500000,50,6,m,f,8.5292941455
100,500000,50,6,m,c,8.51288968525
100,500000,50,6,rw,f,8.50087788125
100,500000,50,6,rw,c,8.469455548
100,500000,90,6,m,f,6.24746191875
100,500000,90,6,m,c,6.22009937225
100,500000,90,6,rw,f,6.236189523
100,500000,90,6,rw,c,6.1738582775
500,100000,10,6,m,f,2.1520089715
500,100000,10,6,m,c,2.1538850105
500,100000,10,6,rw,f,2.142890994
500,100000,10,6,rw,c,2.13568606875
500,100000,50,6,m,f,1.7014361485
500,100000,50,6,m,c,1.70952058475
500,100000,50,6,rw,f,1.701195749
500,100000,50,6,rw,c,1.6821579610000001
500,100000,90,6,m,f,1.243944865
500,100000,90,6,m,c,1.24119417225
500,100000,90,6,rw,f,1.24160291975
500,100000,90,6,rw,c,1.2354966625
500,200000,10,6,m,f,4.32546319275
500,200000,10,6,m,c,4.3019820965
500,200000,10,6,rw,f,4.29798374925
500,200000,10,6,rw,c,4.317343548
500,200000,50,6,m,f,3.40207352475
500,200000,50,6,m,c,3.36290119625
500,200000,50,6,rw,f,3.391941746
500,200000,50,6,rw,c,3.4045150712499996
500,200000,90,6,m,f,2.49759964475
500,200000,90,6,m,c,2.477026838
500,200000,90,6,rw,f,2.4699273565
500,200000,90,6,rw,c,2.4543305205
500,300000,10,6,m,f,6.4749765495
500,300000,10,6,m,c,6.4145223895
500,300000,10,6,rw,f,6.44184610775
500,300000,10,6,rw,c,6.458286351
500,300000,50,6,m,f,5.09500394475
500,300000,50,6,m,c,5.07872938975
500,300000,50,6,rw,f,5.0968398365
500,300000,50,6,rw,c,5.069358214499999
500,300000,90,6,m,f,3.7407003995
500,300000,90,6,m,c,3.716485218
500,300000,90,6,rw,f,3.7198730255
500,300000,90,6,rw,c,3.7278084685
500,400000,10,6,m,f,8.61920546975
500,400000,10,6,m,c,8.53822714525
500,400000,10,6,rw,f,8.62366690425
500,400000,10,6,rw,c,8.626911608
500,400000,50,6,m,f,6.8070977145
500,400000,50,6,m,c,6.74785510425
500,400000,50,6,rw,f,6.83575673025
500,400000,50,6,rw,c,6.7573058285
500,400000,90,6,m,f,4.94732823625
500,400000,90,6,m,c,4.939617671500001
500,400000,90,6,rw,f,4.989319934
500,400000,90,6,rw,c,4.919331963
500,500000,10,6,m,f,10.7261865505
500,500000,10,6,m,c,10.67178804275
500,500000,10,6,rw,f,10.7511681685
500,500000,10,6,rw,c,10.7189342175
500,500000,50,6,m,f,8.470934478
500,500000,50,6,m,c,8.4173668995
500,500000,50,6,rw,f,8.47878683225
500,500000,50,6,rw,c,8.459167125
500,500000,90,6,m,f,6.20868322975
500,500000,90,6,m,c,6.2281594665
500,500000,90,6,rw,f,6.23015372025
500,500000,90,6,rw,c,6.144626414
1000,100000,10,6,m,f,2.138226773
1000,100000,10,6,m,c,2.1409732685
1000,100000,10,6,rw,f,2.15965332025
1000,100000,10,6,rw,c,2.15403800325
1000,100000,50,6,m,f,1.69181901475
1000,100000,50,6,m,c,1.67481020975
1000,100000,50,6,rw,f,1.6739930572500001
1000,100000,50,6,rw,c,1.68579576525
1000,100000,90,6,m,f,1.2334309452499999
1000,100000,90,6,m,c,1.24911489575
1000,100000,90,6,rw,f,1.2367217797499999
1000,100000,90,6,rw,c,1.2272555105
1000,200000,10,6,m,f,4.30005543425
1000,200000,10,6,m,c,4.28277515325
1000,200000,10,6,rw,f,4.308433654
1000,200000,10,6,rw,c,4.284596262
1000,200000,50,6,m,f,3.3841340015
1000,200000,50,6,m,c,3.3582945435
1000,200000,50,6,rw,f,3.368477064
1000,200000,50,6,rw,c,3.3798512855
1000,200000,90,6,m,f,2.4860269835
1000,200000,90,6,m,c,2.4681693805
1000,200000,90,6,rw,f,2.49036370375
1000,200000,90,6,rw,c,2.46288282075
1000,300000,10,6,m,f,6.4635287695
1000,300000,10,6,m,c,6.404752949
1000,300000,10,6,rw,f,6.45651819775
1000,300000,10,6,rw,c,6.453835213750001
1000,300000,50,6,m,f,5.06563948525
1000,300000,50,6,m,c,5.0918898734999996
1000,300000,50,6,rw,f,5.0818288695
1000,300000,50,6,rw,c,5.05478206225
1000,300000,90,6,m,f,3.74768212275
1000,300000,90,6,m,c,3.71115738075
1000,300000,90,6,rw,f,3.731626865
1000,300000,90,6,rw,c,3.7024699869999997
1000,400000,10,6,m,f,8.627900018750001
1000,400000,10,6,m,c,8.580128791749999
1000,400000,10,6,rw,f,8.65324644925
1000,400000,10,6,rw,c,8.6151691775
1000,400000,50,6,m,f,6.85051722975
1000,400000,50,6,m,c,6.7714793975
1000,400000,50,6,rw,f,6.82325034075
1000,400000,50,6,rw,c,6.7800312545
1000,400000,90,6,m,f,4.9708566565000005
1000,400000,90,6,m,c,4.9821225175
1000,400000,90,6,rw,f,4.9580461995
1000,400000,90,6,rw,c,4.96122114325
1000,500000,10,6,m,f,10.84340926925
1000,500000,10,6,m,c,10.747433966
1000,500000,10,6,rw,f,10.814164815
1000,500000,10,6,rw,c,10.8047607545
1000,500000,50,6,m,f,8.49910666275
1000,500000,50,6,m,c,8.469531376499999
1000,500000,50,6,rw,f,8.4837607115
1000,500000,50,6,rw,c,8.524709045749999
1000,500000,90,6,m,f,6.1960065129999995
1000,500000,90,6,m,c,6.214301106
1000,500000,90,6,rw,f,6.2455351795
1000,500000,90,6,rw,c,6.191980316
