Array Size,Transactions/Thread,Query %,Threads,Lock Type,Lock Granularity,Avg Parallel Time
100,100,50,6,m,f,0.01024307575
100,100,50,6,m,c,0.05409800175
100,100,50,6,rw,f,0.01268990725
100,100,50,6,rw,c,0.07664481125
100,100,90,6,m,f,0.017782965749999997
100,100,90,6,m,c,0.09606632175
100,100,90,6,rw,f,0.01762629275
100,100,90,6,rw,c,0.06809849800000001
100,1000,50,6,m,f,0.12159310675
100,1000,50,6,m,c,0.555413368
100,1000,50,6,rw,f,0.11336553775
100,1000,50,6,rw,c,0.7481444775
100,1000,90,6,m,f,0.1703641175
100,1000,90,6,m,c,0.9165540555
100,1000,90,6,rw,f,0.15749289125
100,1000,90,6,rw,c,0.645123842
100,10000,50,6,m,f,1.132857148
100,10000,50,6,m,c,5.50221585375
100,10000,50,6,rw,f,1.0579327455
100,10000,50,6,rw,c,7.33189534025
100,10000,90,6,m,f,1.6689945987500001
100,10000,90,6,m,c,9.16758695275
100,10000,90,6,rw,f,1.61094170575
100,10000,90,6,rw,c,6.50010087
100,100000,50,6,m,f,10.64145038025
100,100000,50,6,m,c,55.12728169675
100,100000,50,6,rw,f,10.281757949
100,100000,50,6,rw,c,73.144967487
100,100000,90,6,m,f,16.3196365285
100,100000,90,6,m,c,91.46850930275
100,100000,90,6,rw,f,15.826938326499999
100,100000,90,6,rw,c,64.27206109125001
