method,threads,iterations,avg_time_ms
m,1,10000,0.00038826750000000004
m,1,100000,0.00192572675
m,1,1000000,0.016825314
m,1,10000000,0.16162775699999998
m,2,10000,0.0012486942500000001
m,2,100000,0.01076761575
m,2,1000000,0.11189021725000001
m,2,10000000,1.19802298725
m,4,10000,0.0022988365
m,4,100000,0.02759573925
m,4,1000000,0.22508347075
m,4,10000000,2.24688139425
m,6,10000,0.00474706775
m,6,100000,0.04782153575
m,6,1000000,0.41482762149999997
m,6,10000000,4.03888313375
m,12,10000,0.014560627
m,12,100000,0.15107985275
m,12,1000000,1.51693118475
m,12,10000000,15.59940501575
rw,1,10000,0.00035414775
rw,1,100000,0.002553964
rw,1,1000000,0.02256181025
rw,1,10000000,0.21220591
rw,2,10000,0.0017212392500000001
rw,2,100000,0.015409842
rw,2,1000000,0.147941219
rw,2,10000000,1.56544050325
rw,4,10000,0.0038236777499999998
rw,4,100000,0.0388237155
rw,4,1000000,0.3817210055
rw,4,10000000,3.8274963435
rw,6,10000,0.0076861922499999995
rw,6,100000,0.0757629335
rw,6,1000000,0.742311727
rw,6,10000000,7.5534937145
rw,12,10000,0.023157905
rw,12,100000,0.23958616775
rw,12,1000000,2.42496255775
rw,12,10000000,24.64496008975
a,1,10000,0.00017844125
a,1,100000,0.00056038625
a,1,1000000,0.0043706835
a,1,10000000,0.04190325875
a,2,10000,0.000380574
a,2,100000,0.003154238
a,2,1000000,0.026213148749999998
a,2,10000000,0.3687871685
a,4,10000,0.000704333
a,4,100000,0.00703517425
a,4,1000000,0.0693055845
a,4,10000000,0.68362061975
a,6,10000,0.0009918729999999999
a,6,100000,0.010478943000000001
a,6,1000000,0.09870726925000001
a,6,10000000,0.9669541875
a,12,10000,0.0021271325
a,12,100000,0.01968003225
a,12,1000000,0.17763742575
a,12,10000000,1.92574091625
